"","X","ID","DATE","DAY","MONTH","YEAR","TIME","LAT","LONG","ROWID","testDate","Season"
"258",952,"X10703","6-12-94",12,"June",1994,"20:03",63.683,-63.833,980,"1994-06-12","break"
"259",953,"X13292","6-13-94",13,"June",1994,".",65.261,-59.254,981,"1994-06-13","break"
"260",954,"X13289","6-13-94",13,"June",1994,".",66.226,-58.59,982,"1994-06-13","break"
"261",955,"X11975","6-14-94",14,"June",1994,"21:15",58.5,-66.583,983,"1994-06-14","break"
"262",956,"X10374","6-14-94",14,"June",1994,"21:12",59.967,-63.15,984,"1994-06-14","break"
"263",957,"X12092","6-15-94",15,"June",1994,"21:04",60.85,-64.3,985,"1994-06-15","break"
"264",958,"X12080","6-15-94",15,"June",1994,"15:59",61.7,-64.283,986,"1994-06-15","break"
"265",959,"X10709","6-15-94",15,"June",1994,"0:38",64.483,-64.7,987,"1994-06-15","break"
"266",960,"X10700","6-16-94",16,"June",1994,"20:52",66.733,-58.233,988,"1994-06-16","break"
"267",961,"X13428","6-16-94",16,"June",1994,".",66.948,-60.932,989,"1994-06-16","break"
"268",962,"X10703","6-17-94",17,"June",1994,"19:00",63.6,-63.817,990,"1994-06-17","break"
"269",963,"X11974","6-18-94",18,"June",1994,"13:16",57.983,-62.267,991,"1994-06-18","break"
"270",964,"X11975","6-19-94",19,"June",1994,"19:27",58.517,-62.8,992,"1994-06-19","break"
"271",965,"X13292","6-19-94",19,"June",1994,".",65.026,-61.709,993,"1994-06-19","break"
"272",966,"X13289","6-19-94",19,"June",1994,".",66.173,-60.715,994,"1994-06-19","break"
"273",967,"X12080","6-20-94",20,"June",1994,"20:44",61.85,-64.15,995,"1994-06-20","break"
