"","ROWID_2","ID","ROWID","DATE","DAY","MONTH","YEAR","TIME","SEASON","LONG","LAT","USED_AVAIL","ZONE","EASTING","NORTHING","ANGLE","DIST_KM","DIFF_DATE","KM_PER_DAY","KM_PER_HR","M_PER_HR","M_PER_S","date_char","distance","lon","lat"
"distance...99",23457,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-60.9502851024805,57.7660050382179,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",247511.183020426,-56.8677318975661,58.2616374867023
"distance...100",23458,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-60.9285376510795,58.5814998688019,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",222251.817586786,-57.211508376476,59.1010134977355
"distance...101",23459,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-60.7674508290674,58.1574284047849,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",225629.747223942,-57.0372023203657,58.681043405113
"distance...102",23460,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-60.65776145009,58.0635835482517,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",222162.183123265,-56.9518751300248,58.4712685866026
"distance...103",32641,"X12082",791,"1994-04-04",4,"April",1994,"21:50","winter",-55.7,52.6,"used",21,588045.65502,5828568.8907,-179.085414127001,283.389955450297,5,56.6779910900594,2.36158296208581,2361.58296208581,0.655995267246058,"19940404",256575.101466559,-53.6637314829503,50.6727399233401
"distance...104",32642,"X12082",791,"1994-04-04",4,"April",1994,"21:50","winter",-55.4315263796452,52.8141008481776,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",266239.838466217,-53.3246289771819,50.8084350306117
"distance...105",32643,"X12082",791,"1994-04-04",4,"April",1994,"21:50","winter",-55.4299755871177,53.0100060064767,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",262194.556624527,-52.2142620392068,54.3920973095369
"distance...106",32644,"X12082",791,"1994-04-04",4,"April",1994,"21:50","winter",-55.3507755554309,53.1337059955802,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",249767.485889587,-52.2142620392068,54.3920973095369
"distance...107",32645,"X12082",791,"1994-04-04",4,"April",1994,"21:50","winter",-55.3234786775141,53.1213158235428,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",249084.456574772,-52.2142620392068,54.3920973095369
"distance...108",32646,"X12082",791,"1994-04-04",4,"April",1994,"21:50","winter",-55.317511981604,53.0315569074818,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",254745.069289472,-52.2142620392068,54.3920973095369
"distance...109",32647,"X12082",791,"1994-04-04",4,"April",1994,"21:50","winter",-55.3103963122514,53.0497852361763,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",253130.168636467,-52.2142620392068,54.3920973095369
"distance...110",32648,"X12082",791,"1994-04-04",4,"April",1994,"21:50","winter",-55.3055645426571,52.3501392508821,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",218574.194008278,-53.5825168603295,50.7054003852494
"distance...111",32649,"X12082",791,"1994-04-04",4,"April",1994,"21:50","winter",-55.2748748402693,52.7203529018926,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",251699.559543484,-53.2884623539218,50.8228029979612
